trans_hour,trans_day,trans_month,trans_year,category,age,trans_amount,state,zip,fraud_risk
10,23,3,2022,4,26,209.66,24,64058,0
6,4,5,2022,4,35,197.43,50,82901,0
17,1,12,2022,9,32,30.11,45,24340,0
16,16,2,2022,10,31,41.36,6,6024,0
20,2,2,2022,10,42,21.66,20,20895,0
9,1,8,2022,4,62,128.34,3,86018,0
4,24,3,2022,11,87,1395.39,17,41254,0
23,13,1,2022,5,91,175.34,4,93529,0
23,15,3,2022,7,50,16.3,10,31329,0
21,2,3,2022,6,35,46.62,38,15484,0
2,18,3,2022,2,19,78.18,3,85086,0
2,2,8,2022,11,46,98.38,50,82711,0
8,30,3,2022,2,19,26.21,47,99033,0
7,28,1,2022,8,65,24.73,34,12910,0
2,16,2,2022,2,81,54.22,34,12575,0
8,1,3,2022,2,33,71.17,36,73027,0
7,26,1,2022,11,36,85.15,38,17088,0
3,14,3,2022,9,29,38.5,26,59710,0
22,22,3,2022,7,40,50.75,25,39113,0
23,16,2,2022,1,44,95.83,31,7060,0
15,4,7,2022,6,30,57.37,35,45307,0
0,20,2,2022,3,30,50.53,34,11955,0
14,3,9,2022,1,79,49.75,45,24070,0
6,31,3,2022,4,24,46.83,18,70726,0
7,20,1,2022,4,43,35.41,48,54154,0
14,30,3,2022,6,45,75.89,12,50073,0
12,3,8,2022,7,41,49.37,26,59014,0
14,30,3,2022,6,45,75.89,12,50073,0
16,25,2,2022,8,19,14.77,43,77566,0
17,20,3,2022,12,21,3.64,38,18103,0
17,3,4,2022,11,25,6.74,50,82501,0
1,1,3,2022,1,51,41.39,22,48221,0
13,21,3,2022,13,60,6.9,34,13615,0
7,16,1,2022,3,24,43.62,42,37932,0
9,2,8,2022,1,71,142.4,36,74074,0
4,3,1,2022,11,32,103.03,45,24433,0
17,31,1,2022,6,34,87.75,43,76008,0
3,1,2,2022,4,47,42.41,22,48174,0
7,25,1,2022,0,61,132.16,35,44483,0
9,16,3,2022,9,27,124.5,49,24970,0
18,25,2,2022,5,38,117.01,49,25213,0
18,25,3,2022,9,42,60.14,20,20895,0
16,1,8,2022,7,48,15.16,43,75092,0
8,30,3,2022,2,19,26.21,47,99033,0
21,19,2,2022,7,43,98.47,48,54154,0
9,16,3,2022,3,49,54.92,4,92637,0
9,1,4,2022,9,48,250.02,21,4226,0
16,21,1,2022,9,40,3.63,31,7750,0
17,4,3,2022,1,35,74.24,20,21750,0
8,4,3,2022,4,57,91.68,17,40209,0
19,25,2,2022,0,62,46.64,14,61335,0
20,3,9,2022,5,50,17.8,38,15834,0
0,2,10,2022,12,32,127.37,38,19456,0
19,3,11,2022,1,36,63.44,35,44412,0
22,15,1,2022,1,73,56.42,4,96038,0
12,21,1,2022,10,21,24.14,21,4287,0
11,4,1,2022,8,47,9.37,34,10962,0
21,27,1,2022,10,45,83.14,27,28073,0
20,18,3,2022,5,53,1.94,31,7640,0
12,15,2,2022,10,27,10.86,34,13647,0
14,4,2,2022,12,28,3.17,34,13755,0
0,29,1,2022,4,54,79.71,42,38079,0
20,3,10,2022,1,31,26.42,27,28654,0
10,2,3,2022,2,44,67.52,38,17850,0
11,24,3,2022,3,30,21.8,35,44233,0
12,4,7,2022,1,64,50.39,43,79548,0
3,17,3,2022,2,50,44.64,28,58765,0
11,22,1,2022,12,32,135.07,45,23303,0
15,15,3,2022,12,46,8.87,26,59448,0
20,19,1,2022,7,38,65.64,49,25526,0
18,2,7,2022,7,54,27.84,27,28901,0
22,18,2,2022,12,21,4.37,10,31632,0
16,4,6,2022,7,57,4.1,38,18917,0
4,1,2,2022,2,56,52.37,38,16878,0
4,1,7,2022,4,51,67.07,36,74130,0
22,21,2,2022,1,80,13.9,2,72524,0
17,3,4,2022,12,33,4.27,38,19007,0
19,4,7,2022,10,73,1.37,43,76631,0
23,28,2,2022,5,78,66.11,45,24070,0
22,2,8,2022,6,40,75.91,35,45808,0
9,2,12,2022,9,27,28.77,43,79085,0
20,28,1,2022,1,20,88.52,34,11217,0
17,2,7,2022,10,49,5.0,49,24927,0
4,24,1,2022,9,35,35.11,28,58769,0
17,4,2,2022,0,49,53.74,14,62360,0
21,1,4,2022,6,24,75.56,22,49775,0
13,4,5,2022,11,48,2.76,43,75092,0
3,14,1,2022,9,34,42.22,1,36869,0
8,21,1,2022,8,35,165.93,45,22046,0
13,16,3,2022,0,23,15.44,22,49628,0
7,28,3,2022,9,59,8.58,21,4680,0
21,4,5,2022,10,31,80.04,23,56672,0
8,4,7,2022,8,47,6.7,49,26339,0
8,19,2,2022,2,69,95.94,38,15829,0
7,2,11,2022,4,68,125.31,45,22151,0
23,17,3,2022,7,36,8.68,42,37754,0
7,1,10,2022,8,37,103.84,3,85020,0
1,3,8,2022,4,59,156.81,17,41810,0
10,3,11,2022,9,39,35.38,20,21790,0
17,30,3,2022,13,29,5.04,17,42701,0
4,3,3,2022,2,33,57.12,19,1843,0
14,3,4,2022,11,18,11.21,2,72165,0
1,4,4,2022,2,45,65.63,50,82221,0
8,19,2,2022,2,69,95.94,38,15829,0
18,15,3,2022,11,30,141.67,35,44233,0
12,2,9,2022,0,50,35.06,12,52576,0
4,24,3,2022,0,82,74.03,34,12575,0
7,17,3,2022,11,81,3.8,37,97375,0
23,2,8,2022,5,47,24.41,24,64686,0
19,21,1,2022,13,19,8.5,2,71960,0
18,4,4,2022,0,45,12.0,38,16314,0
6,25,3,2022,11,49,4.31,12,52576,0
15,23,3,2022,6,34,38.83,25,39073,0
12,13,3,2022,13,57,5.85,6,6444,0
17,25,2,2022,0,38,78.39,41,57756,0
8,4,3,2022,8,51,30.73,49,26237,0
7,1,9,2022,8,32,144.29,9,33040,0
4,18,2,2022,2,31,44.24,16,66941,0
4,24,1,2022,9,35,35.11,28,58769,0
6,14,3,2022,2,28,37.38,14,60913,0
4,24,2,2022,3,66,104.89,34,14425,0
7,4,6,2022,2,41,85.89,37,97132,0
12,22,2,2022,5,33,123.23,35,45106,0
19,26,2,2022,10,67,9.02,17,40202,0
16,3,7,2022,9,47,14.17,41,57374,0
10,25,2,2022,4,47,111.25,12,51521,0
4,4,2,2022,2,23,51.63,22,49628,0
17,3,4,2022,0,46,20.63,4,92585,0
10,17,3,2022,2,54,78.68,42,38079,0
13,4,5,2022,11,48,2.76,43,75092,0
7,20,1,2022,4,43,35.41,48,54154,0
1,3,4,2022,4,15,64.05,14,62668,0
21,3,3,2022,1,32,3.42,9,33040,0
4,31,3,2022,4,30,72.01,32,87035,0
6,3,10,2022,11,59,1.2,14,61830,0
19,3,4,2022,8,22,122.24,17,40077,0
18,31,1,2022,10,49,30.34,12,52576,0
1,3,8,2022,4,59,156.81,17,41810,0
22,3,5,2022,12,45,4.37,4,90650,0
5,14,2,2022,2,86,47.66,21,4074,0
17,25,2,2022,0,38,78.39,41,57756,0
20,29,3,2022,5,31,4.56,38,16858,0
13,3,9,2022,13,34,2.45,34,13361,0
16,1,11,2022,1,34,89.53,25,39073,0
1,1,1,2022,3,15,55.81,14,62668,0
11,3,4,2022,4,58,116.74,20,21524,0
17,22,1,2022,8,21,66.99,12,51006,0
21,22,3,2022,13,28,7.88,15,47451,0
2,2,8,2022,4,32,33.52,23,56379,0
12,4,7,2022,1,64,50.39,43,79548,0
19,3,11,2022,1,36,63.44,35,44412,0
20,25,1,2022,6,36,79.55,38,17088,0
2,21,3,2022,8,29,102.22,38,15324,0
13,21,1,2022,10,48,60.6,43,76665,0
20,1,12,2022,10,21,10.89,38,18103,0
22,2,9,2022,7,28,62.56,7,20017,0
18,15,3,2022,11,30,141.67,35,44233,0
22,28,1,2022,11,35,8.72,43,79539,0
12,28,1,2022,6,41,67.78,2,72476,0
19,24,3,2022,0,21,2.63,43,79252,0
21,20,1,2022,1,41,9.59,20,21208,0
16,31,3,2022,5,45,19.34,27,28073,0
15,14,3,2022,7,19,193.08,25,38761,0
17,14,1,2022,9,20,8.53,34,12534,0
16,3,2,2022,0,42,75.5,23,55771,0
19,19,1,2022,1,22,9.98,4,95148,0
9,16,2,2022,3,40,30.67,9,34112,0
14,3,5,2022,7,47,52.69,18,70531,0
15,15,3,2022,12,46,8.87,26,59448,0
6,30,3,2022,11,56,1.69,14,62424,0
6,2,10,2022,4,50,79.57,14,60193,0
18,14,1,2022,10,20,101.23,46,5461,0
15,23,3,2022,6,34,38.83,25,39073,0
18,18,2,2022,10,38,80.14,50,82227,0
6,28,3,2022,12,83,7.17,29,68881,0
2,25,2,2022,2,53,78.04,43,76857,0
10,2,3,2022,2,44,67.52,38,17850,0
4,24,3,2022,11,87,1395.39,17,41254,0
10,3,4,2022,4,31,207.73,10,31605,0
23,16,2,2022,0,31,73.91,38,19456,0
21,14,1,2022,7,92,62.49,2,72513,0
10,27,1,2022,3,29,53.87,44,84532,0
17,14,1,2022,9,20,8.53,34,12534,0
5,2,4,2022,3,14,27.95,14,60958,0
19,3,3,2022,6,30,57.71,34,11955,0
14,4,2,2022,12,28,3.17,34,13755,0
14,24,3,2022,0,30,33.64,34,11955,0
1,1,1,2022,3,15,55.81,14,62668,0
15,25,3,2022,10,83,116.1,31,7711,0
11,26,1,2022,2,46,56.19,1,35811,0
8,15,2,2022,2,58,63.5,12,52572,0
7,4,6,2022,2,48,54.79,1,36749,0
8,4,2,2022,12,59,6.4,21,4680,0
19,1,1,2022,10,48,71.86,49,24927,0
20,18,3,2022,5,53,1.94,31,7640,0
19,21,1,2022,1,43,113.3,5,80120,0
11,2,10,2022,11,65,7.46,38,16048,0
23,14,1,2022,10,47,12.7,12,51521,0
0,1,6,2022,1,76,70.24,43,75210,0
21,3,3,2022,1,32,3.42,9,33040,0
23,27,2,2022,5,28,71.38,46,5486,0
23,1,10,2022,12,20,4.57,17,42171,0
11,26,1,2022,2,46,56.19,1,35811,0
23,19,2,2022,1,39,12.5,4,95827,0
7,1,10,2022,8,37,103.84,3,85020,0
1,15,1,2022,3,66,83.45,34,14425,0
21,26,3,2022,1,60,25.42,34,13615,0
11,24,3,2022,3,33,35.49,19,1843,0
10,2,3,2022,2,44,67.52,38,17850,0
3,19,3,2022,9,78,9.41,45,24070,0
14,30,3,2022,7,66,95.02,1,35581,0
